Id,Label,rank_class,translations,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,Location,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,pageranks,eigencentrality,modularity_class,chin_rc,engl_rc
187,欽天監主簿,80,Recorder of the Directorate of Astronomy,0,0,0,8,"0,211454","0,267138",Beijing,"61,011978",6,4,10,"0,001902","0,009797",4,正八品,8a
214,欽天監漏刻博士,95,Erudite of the Water Clock at the Directorate of Astronomy,0,0,0,9,"0,192029","0,283086",Beijing,"40,109492",1,9,10,"0,001073","0,001523",4,從九品,9b
173,欽天監五官靈臺郎,75,Director of the Observatory at the Directorate of Astronomy,0,0,0,8,"0,2","0,238123",Beijing,"39,712719",4,2,6,"0,00124","0,004684",4,從七品,7b
201,欽天監五官挈壺正,85,Supervisor of the Water Clocks at the Directorate of Astronomy,0,0,0,8,"0,213675","0,277119",Beijing,"13,767465",2,4,6,"0,000936","0,002342",4,從八品,8b
203,欽天監五官監候,90,Astronomical Observer at the Directorate of Astronomy,0,0,0,9,"0,183453","0,245822",Beijing,"12,890508",1,4,5,"0,001073","0,001523",4,正九品,9a
93,欽天監監正,50,Director of the Directorate of Astronomy,0,0,0,1,1,1,Beijing,9,2,1,3,"0,002234","0,007456",4,正五品,5a
9,天文生,0,Student of Astronomy,0,0,0,10,"0,166667","0,230707",,0,0,2,2,"0,000753",0,4,unranked,unranked
174,主簿,75,County Keeper of Records,0,0,0,0,0,0,,0,2,0,2,"0,001322","0,004898",4,從七品,7b
207,欽天監五官司書,90,Compiler the Directorate of Astronomy,0,0,0,9,"0,180812","0,234767",,0,2,4,6,"0,000936","0,002342",4,正九品,9a
256,加京官銜(仍管欽天監事務),,Add Metropolitan Brevet,0,0,0,0,0,0,,0,1,0,1,"0,002652","0,00363",4,NA,NA
206,縣主簿,90,Assistant Magistrate,0,0,0,10,"0,220779","0,317166",,"1256,751687",31,12,43,"0,007314","0,232733",5,正九品,9a
205,府知事,90,Administrative Clerk for a Prefect,0,0,0,10,"0,21875","0,309037",,"699,559129",27,10,37,"0,006599","0,302264",5,正九品,9a
190,按察司知事,80,Administrative Clerk for a Provincial Surveillance Commissioner,0,0,0,9,"0,24","0,32964",,"636,492985",16,4,20,"0,007664","0,38652",5,正八品,8a
211,京外府照磨,95,Record Keeper for Prefect,0,0,0,10,"0,216837","0,30148",,"329,443365",24,10,34,"0,004453","0,184325",5,從九品,9b
215,同知照磨,95,Record Kepper for Vice Prefect,0,0,0,10,"0,216837","0,30148",,"329,443365",23,10,33,"0,004453","0,184325",5,從九品,9b
216,通判照磨,95,Record Keeper for Deputy Vice Prefect,0,0,0,10,"0,216837","0,30148",,"329,443365",24,10,34,"0,004453","0,184325",5,從九品,9b
225,府稅課司大使,95,Commissioner-in-chief of the Commercial Tax Office of Prefecture,0,0,0,11,"0,189873","0,267712",,"220,163285",27,10,37,"0,002034","0,031966",5,從九品,9b
238,京外縣典史,100,County Jailor,0,0,0,11,"0,196242","0,293554",,"205,27475",28,17,45,"0,002248","0,033489",5,未入流,nc
223,州吏目,95,Chief of Police,0,0,0,11,"0,189873","0,267712",,"161,188417",40,10,50,"0,0036","0,103715",5,從九品,9b
212,府司獄,95,Warder for a Prefect,0,0,0,11,"0,189873","0,267712",,"150,326428",27,10,37,"0,001681","0,03817",5,從九品,9b
226,按察司司獄,95,Warder for a Provincial Surveillance Commissioner,0,0,0,11,"0,189873","0,267712",,"150,326428",14,5,19,"0,001681","0,03817",5,從九品,9b
227,同知司獄,95,Warder for a Vice Prefect,0,0,0,11,"0,189873","0,267712",,"150,326428",27,10,37,"0,001681","0,03817",5,從九品,9b
228,通判司獄,95,Warder for a Deputy Vice Prefect,0,0,0,11,"0,189873","0,267712",,"150,326428",27,10,37,"0,001681","0,03817",5,從九品,9b
229,巡檢,95,Police Chief,0,0,0,11,"0,191176","0,270265",,"119,24974",21,10,31,"0,003323","0,069099",5,從九品,9b
222,宣課司大使,95,Commissioner-in-chief of the Commercial Tax Office,0,0,0,11,"0,191579","0,275759",,"104,358832",23,12,35,"0,001615","0,041542",5,從九品,9b
235,兵馬司吏目,100,Chief-of-police at the Warden’s Office,0,0,0,11,"0,191579","0,275759",,91,1,12,13,"0,001393","0,001523",5,未入流,nc
213,刑部司獄,95,Warder,0,0,0,10,"0,218045","0,292634",,87,1,6,7,"0,001393","0,001523",5,從九品,9b
230,府倉大使,95,Granary Commissioner for Prefect,0,0,0,11,"0,190476","0,252834",,"51,617404",27,4,31,"0,001681","0,03817",5,從九品,9b
231,同知倉大使,95,Granary Commissioner for Vice Prefect,0,0,0,11,"0,190476","0,252834",,"51,617404",27,4,31,"0,001681","0,03817",5,從九品,9b
241,府檢校,100,Investigator,0,0,0,11,"0,190776","0,268433",,"36,302465",1,10,11,"0,000967","0,001523",5,未入流,nc
